Fiscal Year, Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2014-2015,"61,930,410",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research,Research,Transfer payments,University of Guelph
2014-2015,"99,800,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Economic Development,Economic Development,Transfer payments,"Horse Racing Partnership Funding Program"
2014-2015,"119,500,000",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,"Ontario Risk Management Program"
2014-2015,"135,522,971",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Capital Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Agriculture and Rural Affairs Capital,Agriculture and Rural Affairs Capital,Transfer payments,Municipal Infrastructure
2014-2015,"690,057",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,"Wildlife Damage Compensation - Federal"
2014-2015,"776,026",Ministry Of Agriculture And Food/Ministry Of Rural Affairs,Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Business Risk Management Transfers,Business Risk Management Transfers,Transfer payments,"Wildlife Damage Compensation - Provincial"
2014-2015,-,Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Local Poverty Reduction Fund,Statutory Appropriations,Other transactions,
2014-2015,-,Ministry Of Children And Youth Services,Capital Expense,Children and Youth Services,Children and Youth Services,Statutory Appropriations,Other transactions,
2014-2015,"1,168",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Specialized Services,Autism,Supplies and equipment,
2014-2015,"13,795",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Transportation and communication,
2014-2015,"49,301",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Minister's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"17,700",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Child and Youth Mental Health,Transfer payments,"Child and Youth Mental Health Payments in Lieu of Municipal Taxes"
2014-2015,"20,418",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Communications and Marketing,Supplies and equipment,
2014-2015,"20,669",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Supplies and equipment,
2014-2015,"30,975",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Youth Justice Services,Transfer payments,"Youth Justice Payments in Lieu of of Municipal Taxes ."
2014-2015,"33,215",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Bad Debt Expense,Statutory Appropriations,Other transactions,
2014-2015,"34,381",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Communications and Marketing,Transportation and communication,
2014-2015,"48,792",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Supplies and equipment,
2014-2015,"56,708",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Services,
2014-2015,"67,107",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Transportation and communication,
2014-2015,"81,120",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Specialized Services,Autism,Transportation and communication,
2014-2015,"90,492",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Employee benefits,
2014-2015,"92,027",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Transportation and communication,
2014-2015,"117,997",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Children Protection Services,Supplies and equipment,
2014-2015,"180,502",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Communications and Marketing,Services,
2014-2015,"184,514",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Communications and Marketing,Employee benefits,
2014-2015,"194,753",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Services,
2014-2015,"235,730",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Services,
2014-2015,"256,681",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Employee benefits,
2014-2015,"318,293",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Supplies and equipment,
2014-2015,"392,220",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Audit Services,Services,
2014-2015,"396,179",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Employee benefits,
2014-2015,"461,167",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Human Resources,Salaries and wages,
2014-2015,"526,215",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Specialized Services,Autism,Employee benefits,
2014-2015,"588,500",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Supplies and equipment,
2014-2015,"716,108",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Transportation and communication,
2014-2015,"892,247",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Child and Youth Mental Health,Transportation and communication,
2014-2015,"1,093,763",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Specialized Services,Autism,Services,
2014-2015,"1,175,041",Ministry Of Children And Youth Services,Capital Expense,Infrastructure Program,Infrastructure Program,Children and Youth Services Capital,Other transactions,Capital Investments
2014-2015,"1,199,674",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Children Protection Services,Transportation and communication,
2014-2015,"1,214,361",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Communications and Marketing,Salaries and wages,
2014-2015,"1,304,211",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Child and Youth Mental Health,Supplies and equipment,
2014-2015,"16,667",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and wages,
2014-2015,"1,845,513",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Salaries and wages,
2014-2015,"1,882,867",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Employee benefits,
2014-2015,"1,942,224",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Children Protection Services,Employee benefits,
2014-2015,"2,520,000",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Legal Services,Services,
2014-2015,"2,675,270",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Services,
2014-2015,"2,771,513",Ministry Of Children And Youth Services,Operating Expense,Ministry Administration,Ministry Administration,Business Services,Salaries and wages,
2014-2015,"3,060,465",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Specialized Services,Autism,Salaries and wages,
2014-2015,"3,143,323",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Youth Justice Services,Transportation and communication,
2014-2015,"4,075,557",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Youth Justice Services,Supplies and equipment,
2014-2015,"7,651,041",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Child and Youth Mental Health,Employee benefits,
2014-2015,"10,322,653",Ministry Of Children And Youth Services,Capital Expense,Children and Youth Services,Amortization,Statutory Appropriations,Other transactions,Amortization
2014-2015,"12,768,083",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Children Protection Services,Salaries and wages,
2014-2015,"12,819,584",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Salaries and wages,
2014-2015,"13,594,406",Ministry Of Children And Youth Services,Capital Expense,Infrastructure Program,Infrastructure Program,Children and Youth Services Capital,Transfer payments,Partner Facility Renewal
2014-2015,"14,073,604",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Ontario Child Benefit,Ontario Child Benefit,Transfer payments,"Ontario Child Benefit Equivalent"
2014-2015,"14,470,470",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Child and Youth Mental Health,Services,
2014-2015,"18,836,481",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Youth Justice Services,Employee benefits,
2014-2015,"24,662,980",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Children Protection Services,Transfer payments,"Child Protection Transformation Fund"
2014-2015,"28,429,812",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Children Protection Services,Services,
2014-2015,"33,231,664",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Youth Justice Services,Services,
2014-2015,"37,860,016",Ministry Of Children And Youth Services,Capital Expense,Infrastructure Program,Infrastructure Program,Children and Youth Services Capital,Transfer payments,Capital Grants
2014-2015,"39,222,297",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Children and Youth at Risk,Child and Youth Mental Health,Salaries and wages,
2014-2015,"47,514,978",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Transfer payments,Children's Activity Tax Credit
2014-2015,"89,546,297",Ministry Of Children And Youth Services,Operating Expense,Children and Youth Services,Healthy Child Development,Healthy Child Development,Transfer payments,Healthy Babies Healthy Children
