Year,Amount $,Ministry Name (Level 1),Expenditure Category (Operating / Capital) (Level 2),Program Name (Level 3),Activity / Item (Level 4),Sub Item (Level 5),Standard Account (Expense/Asset Name) (Level 6),"Account Details (Expense/Asset Details) 
(Level 7)"
2018-19,"6,543",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2018-19,"6,549",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"6,645",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Greenhouse Gas Reduction Initiatives,No Value,Transportation and communication,No Value
2018-19,"6,846",Transportation,Operating Expense,Labour and Transportation Cluster,Other Ministry Recoveries,No Value,Transportation and communication,No Value
2018-19,"7,111",Government and Consumer Services,Operating Expense,Advertising Review Board ,Advertising Review Board,No Value,Supplies and equipment,No Value
2018-19,"7,139",Infrastructure,Operating Expense,Infrastructure Policy and Planning,Infrastructure Policy and Planning,Infrastructure Policy,Transportation and communication,No Value
2018-19,"7,169",International Trade,Operating Expense,Ministry Administration,Ministry Administration,No Value,Supplies and equipment,No Value
2018-19,"7,245",Status of Women,Operating Expense,Status of Women Programs,Status of Women Programs,No Value,Supplies and equipment,No Value
2018-19,"7,322","Chief Electoral Officer, Office of the",Operating Expense,Office of the Chief Electoral Officer Program,Election Finances Administration,No Value,Supplies and equipment,No Value
2018-19,"7,323",Advanced Education and Skills Development,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Transportation and communication,No Value
2018-19,"7,500","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Economic Development and Growth Program,Economic Development and Employment,"Economic Development, Investment",Transfer payments,Small Business Access
2018-19,"7,540",Municipal Affairs / Housing,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"7,588","Agriculture, Food and Rural Affairs",Operating Expense,"Strong Agriculture, Food and Bio-product Sectors and Strong Rural Communities",Research ,No Value,Supplies and equipment,No Value
2018-19,"7,660",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Income Security and Pension Policy ,No Value,Supplies and equipment,No Value
2018-19,"7,737",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"7,865","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Legal Services,Supplies and equipment,No Value
2018-19,"8,148","Premier, Office of the",Operating Expense,Office of the Premier Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistant's Salary, the Executive Council Act"
2018-19,"8,200",Labour,Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,No Value,Transportation and communication,No Value
2018-19,"8,216",Natural Resources and Forestry,Capital Expense,Natural Resource Management Program,Infrastructure for Natural Resource Management,"Provincial Services, Science and Research",Transportation and communication,No Value
2018-19,"8,396",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Policy and Planning,Services,No Value
2018-19,"8,422",Municipal Affairs / Housing,Operating Expense,Local Government and Planning Policy,Local Government and Planning Policy,No Value,Supplies and equipment,No Value
2018-19,"8,464",Finance,Operating Expense,Financial Services Industry Regulation Program,Motor Vehicle Accident Claims Fund,No Value,Supplies and equipment,No Value
2018-19,"8,500",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2018-19,"8,544","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"8,559",Education,Operating Expense,Ministry Administration Program,Legal Services,Legal Services,Supplies and equipment,Supplies and equipment
2018-19,"8,702",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Policy and Planning,Transportation and communication,No Value
2018-19,"8,772","Agriculture, Food and Rural Affairs",Operating Expense,Better Public Health and Environment ,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"8,906",Citizenship and Immigration,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,"8,943",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,No Value
2018-19,"8,985",Environment and Climate Change,Operating Expense,Environmental Economics and Analytics,Environmental Planning and Analysis,No Value,Supplies and equipment,No Value
2018-19,"9,011",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2018-19,"9,032",Labour,Operating Expense,Ministry Administration Program,Ministry Administration,Corporate Services,Transportation and communication,No Value
2018-19,"9,107",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Financial and Administrative Services,Supplies and equipment,No Value
2018-19,"9,179",Education,Operating Expense,Ministry Administration Program,Main Ofice,Main Ofice,Supplies and equipment,Supplies and equipment
2018-19,"9,203",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Facilities Services,Supplies and equipment,No Value
2018-19,"9,204",Transportation,Operating Expense,Ministry Administration Program,Business Support,Main Office,Supplies and equipment,No Value
2018-19,"9,214",Labour,Operating Expense,Labour Relations Program,Ontario Skilled Trades ,No Value,Transportation and communication,No Value
2018-19,"9,327",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"9,426",Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Supplies and equipment,No Value
2018-19,"9,444",Community Safety and Correctional Services,Operating Expense,Correctional Services Program,Institutional Services,No Value,Transfer payments,Compassionate allowances to permanently handicapped inmates
2018-19,"9,564",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"9,818",Seniors Affairs,Operating Expense,Seniors Affairs Program,Seniors Affairs Program,No Value,Supplies and equipment,No Value
2018-19,"9,892","Assembly, Office of the",Operating Expense,Office of the Assembly Program,Members' Compensation and Travel,No Value,Supplies and equipment,No Value
2018-19,"9,910","Tourism, Culture and Sport",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,No Value
2018-19,"10,000",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"10,144",Finance,Operating Expense,Regulatory Policy and Agency Relations Program,Government Business Enterprise ,Investment and Governance ,Transportation and communication,No Value
2018-19,"10,192",Northern Development and Mines,Operating Expense,Mines and Minerals Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expense, the Financial Administration Act"
2018-19,"10,400",Labour,Operating Expense,Occupational Health and Safety Program,Workplace Safety and Insurance Advisory Program Administration,No Value,Supplies and equipment,No Value
2018-19,"10,415",Government and Consumer Services,Operating Expense,Advertising Review Board ,Advertising Review Board,No Value,Transportation and communication,No Value
2018-19,"10,460",Treasury Board Secretariat,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2018-19,"10,566",Government and Consumer Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"10,845",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2018-19,"11,009",Energy,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
2018-19,"11,280",Health and Long-Term Care,Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2018-19,"11,333",Natural Resources and Forestry,Operating Expense,Natural Resource Management Program,Greenhouse Gas Reduction Initiatives,No Value,Supplies and equipment,No Value
2018-19,"11,535",Attorney General,Operating Expense,Ministry Administration Program,Ministry Administration,Freedom of Information and Privacy,Services,No Value
2018-19,"11,613","Tourism, Culture and Sport",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2018-19,"11,616",Community and Social Services,Operating Expense,Ministry Administration Program,Ministry Administration,Executive Offices,Supplies and equipment,No Value
2018-19,"11,674","Agriculture, Food and Rural Affairs",Operating Expense,Ministry Administration Program,,Human Resources,Supplies and equipment,No Value
2018-19,"11,833","Economic Development and Growth / Research, Innovation and Science",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
