Year,Amount $,Organization (Level 1),Budget category (Level 2),Program (Level 3),Program component (Level 4),Voted Item (Level 5),Expense type (Level 6),Expense Detail (Level 7)
2015-16,"1,094,000,000",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Ontario Child Benefit,Ontario Child Benefit,Transfer Payments,Ontario Child Benefit
2015-16,"13,616,476",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Ontario Child Benefit,Ontario Child Benefit,Transfer Payments,"Ontario Child Benefit Equivalent"
2015-16,"21,938,034",Ministry of Children and Youth Services,Capital Expense,Infrastructure Program ,Children and Youth Services Capital,Children and Youth Services Capital,Transfer Payments,Partner Facility Renewal
2015-16,"31,121",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Transfer Payments,"Youth Justice Payments in Lieu of of Municipal Taxes"
2015-16,"193,887,347",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Transfer Payments,"Youth Justice Services"
2015-16,"2,589,178",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Employee Benefits,
2015-16,"7,005,776",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Employee Benefits,
2015-16,"18,152,372",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Employee Benefits,
2015-16,"17,571,546",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Salaries and Wages,
2015-16,"38,445,222",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Salaries and Wages,
2015-16,"106,285,286",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Salaries and Wages,
2015-16,"15,065,290",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Services,
2015-16,"25,622,854",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Services,
2015-16,"36,288,630",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Services,
2015-16,"376,877",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Supplies and equipment,
2015-16,"1,365,597",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Supplies and equipment,
2015-16,"3,466,411",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Supplies and equipment,
2015-16,"923,168",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Child and Youth Mental Health,Transportation and Communication,
2015-16,"1,175,079",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Children Protection Services,Transportation and Communication,
2015-16,"3,058,711",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Children and Youth at Risk,Youth Justice Services,Transportation and Communication,
2015-16,"1,885,302",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Employee Benefits,
2015-16,"13,094,787",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Salaries and Wages,
2015-16,"2,925,447",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Services,
2015-16,"287,415",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Supplies and equipment,
2015-16,"676,648",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Healthy Child Development,Healthy Child Development,Transportation and Communication,
2015-16,"49,301",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Minister's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"61,915",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Employee Benefits,
2015-16,"294,842",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Employee Benefits,
2015-16,"390,102",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Employee Benefits,
2015-16,"441,465",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Employee Benefits,
2015-16,"399,511",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Salaries and Wages,
2015-16,"2,103,025",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Salaries and Wages,
2015-16,"2,881,799",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Salaries and Wages,
2015-16,"3,197,060",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Salaries and Wages,
2015-16,"6,358",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Services,
2015-16,"319,628",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Services,
2015-16,"341,442",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Services,
2015-16,"372,600",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Audit Services,Services,
2015-16,"416,347",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Services,
2015-16,"2,749,295",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,
2015-16,"8,500",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Supplies and equipment,
2015-16,"9,222",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Supplies and equipment,
2015-16,"14,929",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Supplies and equipment,
2015-16,"16,827",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Supplies and equipment,
2015-16,"31,208",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Supplies and equipment,
2015-16,"9,000",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Human resources,Transportation and Communication,
2015-16,"13,800",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and Communication,
2015-16,"33,261",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Communications and Marketing,Transportation and Communication,
2015-16,"81,998",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,Business Services,Transportation and Communication,
2015-16,"103,229",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Ministry Administration,"Executive Offices (Minister's Office, Deputy Minister's Office)",Transportation and Communication,
2015-16,"16,667",Ministry of Children and Youth Services,Operating Expense,Ministry Administration Program,Parliamentary Assistant's Salary,Statutory Appropriations,Salaries and Wages,
2015-16,"447,960",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Autism,Employee Benefits,
2015-16,"3,086,541",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Autism,Salaries and Wages,
2015-16,"1,708,413",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Autism,Services,
2015-16,"2,043",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Autism,Supplies and equipment,
2015-16,"33,994",Ministry of Children and Youth Services,Operating Expense,Children and Youth Services Program,Specialized Services,Autism,Transportation and Communication,
2015-16,"7,077,059","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Transfer Payments,Economic Independence Initiatives
2015-16,"57,276,405","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Transfer Payments,Language Training
2015-16,"-800,000","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Transfer Payments,Recoveries
2015-16,"16,399,314","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Ontario Seniors' Secretariat,Transfer Payments,Seniors' Secretariat Initiatives
2015-16,"14,127,147","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Citizenship and Immigration Program,Citizenship and Immigration,Citizenship and Immigration,Transfer Payments,Settlement and Integration Grants
2015-16,"9,155,863","Ministry of Citizenship, Immigration and International Trade",Operating Expense,Ontario Women's Directorate Program,Ontario Women's Directorate,Ontario Women's Directorate,Transfer Payments,Violence Prevention Initiatives
