Year,Amount,Ministry Name,Expenditure Category (Operating / Capital),Program Name,Activity / Item,Sub Item,Standard Account (Expense/Asset Name),Account Details (Expense/Asset Details)
2021-22,"2,425,445",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"363,647",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"23,437",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"253,788",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"5,826",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"1,216,600",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Services,No Value
2021-22,"3,193",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Transportation and communication,No Value
2021-22,"904,639",Colleges and Universities,Operating Expense,Ministry Administration Program,Ministry Administration,Information Systems,Services,No Value
2021-22,"49,301",Colleges and Universities,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Minister's Salary, the Executive Council Act"
2021-22,"15,707",Colleges and Universities,Operating Expense,Ministry Administration Program,Statutory Appropriations,No Value,Salaries and wages,"Parliamentary Assistants' Salaries, the Executive Council Act"
2021-22,"22,765,692",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Salaries and wages,No Value
2021-22,"3,212,896",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Employee benefits,No Value
2021-22,"536,589",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transportation and communication,No Value
2021-22,"14,670,412",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Services,No Value
2021-22,"36,121",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Supplies and equipment,No Value
2021-22,"31,061,744",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Grants for Indigenous Institute Operating Costs
2021-22,"1,451,491,753",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Grants for College Operating Costs
2021-22,"3,610,466,805",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Grants for University Operating Costs
2021-22,"766,308",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,"Council of Ministers of Education, Canada"
2021-22,"13,600,000",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Postsecondary Transformation
2021-22,"954,355,881",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Transfer payments,Student Financial Assistance Programs
2021-22,"-924,243",Colleges and Universities,Operating Expense,Postsecondary Education Program,"Colleges, Universities and Student Support",No Value,Recoveries,No Value
2021-22,"52,977,179",Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Defaulted Student Loans, the Financial Administration Act"
2021-22,"725,513",Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Training Completion Assurance Fund, the Private Career Colleges Act"
2021-22,"500,000",Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Private Career Colleges, the Financial Administration Act"
2021-22,"3,500,000",Colleges and Universities,Operating Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Bad Debt Expenses for Colleges and Universities,  the Financial Administration Act"
2021-22,"5,619,265",Colleges and Universities,Operating Expense,Research Program,Research Support,No Value,Salaries and wages,No Value
2021-22,"648,598",Colleges and Universities,Operating Expense,Research Program,Research Support,No Value,Employee benefits,No Value
2021-22,"25,937",Colleges and Universities,Operating Expense,Research Program,Research Support,No Value,Transportation and communication,No Value
2021-22,"2,369,021",Colleges and Universities,Operating Expense,Research Program,Research Support,No Value,Services,No Value
2021-22,"56,376",Colleges and Universities,Operating Expense,Research Program,Research Support,No Value,Supplies and equipment,No Value
2021-22,"154,763,084",Colleges and Universities,Operating Expense,Research Program,Research Support,No Value,Transfer payments,Grants for Research Operating Costs
2021-22,"83,478,276",Colleges and Universities,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Transfer payments,Capital Grants - Colleges
2021-22,"94,932,082",Colleges and Universities,Capital Expense,Postsecondary Education Program,Support for Postsecondary Education,No Value,Transfer payments,Capital Grants - Universities
2021-22,"6,769,383",Colleges and Universities,Capital Expense,Postsecondary Education Program,Statutory Appropriations,No Value,Other transactions,"Amortization, the Financial Administration Act"
2021-22,"41,277,145",Colleges and Universities,Capital Expense,Research Program,Research Support,No Value,Transfer payments,Ontario Research Fund - Research Infrastructure
2021-22,"4,702,667","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Salaries and wages,No Value
2021-22,"496,895","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Employee benefits,No Value
2021-22,"80,154","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Transportation and communication,No Value
2021-22,"381,843","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Services,No Value
2021-22,"6,639","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Main Office,Supplies and equipment,No Value
2021-22,"4,266,955","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Salaries and wages,No Value
2021-22,"641,424","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Employee benefits,No Value
2021-22,"77,240","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Transportation and communication,No Value
2021-22,"730,721","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Services,No Value
2021-22,"93,282","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Planning and Finance,Supplies and equipment,No Value
2021-22,"1,519,932","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Salaries and wages,No Value
2021-22,"273,659","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Employee benefits,No Value
2021-22,"7,299","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Transportation and communication,No Value
2021-22,"174,090","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Services,No Value
2021-22,441,"Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Human Resources,Supplies and equipment,No Value
2021-22,"3,522,745","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Salaries and wages,No Value
2021-22,"536,730","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Employee benefits,No Value
2021-22,"23,678","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Transportation and communication,No Value
2021-22,"515,810","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Services,No Value
2021-22,"14,198","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Communications Services,Supplies and equipment,No Value
2021-22,"14,001","Economic Development, Job Creation and Trade",Operating Expense,Ministry Administration Program,Ministry Administration,Legal Services,Transportation and communication,No Value
